MSN,YYYYMM,Value,Column_Order,Description,Unit
GERCBUS,198403,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198404,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198405,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198406,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198407,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198408,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198409,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198410,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198411,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198412,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198413,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198501,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198502,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198503,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198504,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198505,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198506,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198507,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198508,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198509,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198510,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198511,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198512,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198513,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198601,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198602,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198603,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198604,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198605,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198606,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198607,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198608,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198609,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198610,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198611,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198612,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198613,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198701,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198702,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198703,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198704,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198705,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198706,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198707,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198708,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198709,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198710,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198711,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198712,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198713,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198801,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198802,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198803,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198804,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198805,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198806,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198807,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198808,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
GERCBUS,198809,Not Available,1,Geothermal Energy Consumed by the Residential Sector,Trillion Btu
